Company Name,Location,Sector,Email,Phone,LinkedIn,Twitter,Website,Notes
GnuGrid,Kampala Uganda,Clean Energy,info@gnugrid.com,+256-XXX-XXXX,/company/gnugrid,@gnugrid,https://gnugrid.com,Solar energy solutions
Numida,Kampala Uganda,Fintech,contact@numida.com,+256-XXX-XXXX,/company/numida,@numidaug,https://numida.com,SME lending
MCash Uganda,Kampala Uganda,Fintech,info@mcash.ug,+256-XXX-XXXX,/company/mcash-uganda,@mcashug,https://www.mcash.ug/,Mobile money
Onafriq,Kampala Uganda,Fintech,info@onafriq.com,+256-XXX-XXXX,/company/onafriq,@onafriq,https://onafriq.com/,Pan-African payments
Fintech Group,Kampala Uganda,Fintech,info@fintech-group.com,+256-414-340052,/company/fintech-group-uganda,@fintechgroupug,https://fintech-group.com/contact/,Financial services
SafeBoda,Kampala Uganda,Tech/Transport,support@safeboda.com,+256-XXX-XXXX,/company/safeboda,@safeboda,https://safeboda.com,Ride-hailing
XENO Technologies,Kampala Uganda,Tech,info@xenotech.ug,+256-XXX-XXXX,/company/xeno-technologies,@xenotech,https://xenotech.ug,Software development
KaCyber Technologies,Kampala Uganda,Tech,contact@kacyber.com,+256-XXX-XXXX,/company/kacyber,@kacyber,https://kacyber.com,Cybersecurity
Waanverse Labs Inc,Kampala Uganda,Tech,hello@waanverse.com,+256-XXX-XXXX,/company/waanverse,@waanverse,https://waanverse.com,Web3/Metaverse
Zimba Technologies Inc,Kampala Uganda,Tech,info@zimbatech.com,+256-XXX-XXXX,/company/zimba-technologies,@zimbatech,https://zimbatech.com,Software solutions
CodeBits Company Limited,Kampala Uganda,Tech,contact@codebits.ug,+256-XXX-XXXX,/company/codebits,@codebits,https://codebits.ug,Software development
Emata,Kampala Uganda,Tech,info@emata.io,+256-741-445718,/company/emata,@emataio,https://www.emata.io/about,IoT/Smart systems
AREM Clean Energy Solutions,Kampala Uganda,Clean Energy,info@aremcleanenergy.com,+256-XXX-XXXX,/company/arem-clean-energy,@aremclean,https://www.bettervest.com/en/current-projects/arem,Solar solutions
New Energy Nexus Uganda,Kampala Uganda,Clean Energy,uganda@newenergynexus.com,+256-XXX-XXXX,/company/new-energy-nexus,@newenergynexus,https://www.newenergynexus.com/uganda/,Clean energy accelerator
GreenEra Engineering Solutions Ltd,Kampala Uganda,Clean Energy,info@greenera.ug,+256-XXX-XXXX,/company/greenera-engineering,@greeneraug,https://greenera.ug,Renewable energy
Easy Power Co Ltd,Kampala Uganda,Clean Energy,info@easypower.ug,+256-XXX-XXXX,/company/easy-power-uganda,@easypowerug,https://easypower.ug,Solar energy
ZERO WASTE AMAZING PROJECTS,Kampala Uganda,Clean Energy/Waste,info@zerowaste.ug,+256-XXX-XXXX,/company/zero-waste-uganda,@zerowasteug,https://zerowaste.ug,Waste management
UNREEEA,Kampala Uganda,Clean Energy,info@unreeea.org,+256-XXX-XXXX,/company/unreeea,@unreeea,https://unreeea.org/,Renewable energy association
Yo Waste,Kampala Uganda,Clean Energy/Waste,contact@yowaste.com,+256-XXX-XXXX,/company/yo-waste,@yowaste,https://yowaste.com,Waste collection
Innovation Village,Kampala Uganda,Tech Hub,info@innovationvillage.co.ug,+256-XXX-XXXX,/company/innovation-village,@innovvillage,https://softpower.ug/,Startup incubator
Outbox Hub,Kampala Uganda,Tech Hub,hello@outbox.co.ug,+256-XXX-XXXX,/company/outbox-hub,@outboxhub,https://outbox.co.ug,Co-working/incubator
mPharma,Accra Ghana,Healthtech,info@mpharma.com,+233-XXX-XXXX,/company/mpharma,@mpharmagh,https://www.mpharma.com/,Pharmaceutical distribution
PEG Africa,Accra Ghana,Clean Energy,contact@pegafrica.com,+233-XXX-XXXX,/company/peg-africa,@pegafrica,https://pegafrica.com,Pay-as-you-go solar
Complete Farmer,Accra Ghana,Agritech,hello@completefarmer.com,+233-XXX-XXXX,/company/complete-farmer,@completefarmer,https://completefarmer.com,Agricultural platform
Starsight Energy,Accra Ghana,Clean Energy,info@starsightenergy.com,+233-XXX-XXXX,/company/starsight-energy,@starsightenergy,https://starsightenergy.com/ghana/,Clean energy generation
Abellon CleanEnergy Ghana Ltd,Accra Ghana,Clean Energy,info@abelloncleanenergy.com,+233-XXX-XXXX,/company/abellon-cleanenergy,@abellonclean,https://www.abelloncleanenergy.com,Clean cooking solutions
Sustainable Energy Technologies Limited,Accra Ghana,Clean Energy,contact@sustainableenergygh.com,+233-XXX-XXXX,/company/sustainable-energy-tech-ghana,@sustainablegh,https://sustainableenergygh.com,Energy solutions
Ecovon Team,Accra Ghana,Clean Energy,info@ecovon.com,+233-XXX-XXXX,/company/ecovon,@ecovonteam,https://ecovon.com,Clean energy
Kofa,Accra Ghana,Clean Energy,hello@kofa.co,+233-XXX-XXXX,/company/kofa,@kofaenergy,https://www.kofa.co/,Clean energy access
Joluud,Accra Ghana,Fintech,contact@joluud.com,+233-XXX-XXXX,/company/joluud,@joluud,https://joluud.com,Fintech solutions
Hysata,Accra Ghana,Tech,info@hysata.com,+233-XXX-XXXX,/company/hysata,@hysata,https://hysata.com,Tech innovation
Ghana Innovation and AI Hub,Accra Ghana,Innovation Hub,info@ghanaaihub.com,+233-XXX-XXXX,/company/ghana-ai-hub,@ghanaaihub,https://ghanaaihub.com,$1B Ghana-UAE deal
Polymath Network,Barbados,Fintech/Blockchain,contact@polymath.network,+1-XXX-XXXX,/company/polymath-network,@polymathnetwork,https://polymath.network,Security tokens
Bitt,Barbados,Fintech/CBDC,info@bitt.com,+1-XXX-XXXX,/company/bitt,@bittinc,https://bitt.com,Digital currency systems
Shyft Network,Barbados,Blockchain,hello@shyft.network,+1-XXX-XXXX,/company/shyft-network,@shyftnetwork,https://shyft.network,Identity verification
Bridge Network,Barbados,Blockchain/Fintech,contact@bridge.network,+1-XXX-XXXX,/company/bridge-network,@bridgenetwork,https://bridge.network,Cross-chain transactions
Payce Digital,Barbados,Fintech,info@paycedigital.com,+1-XXX-XXXX,/company/payce-digital,@paycedigital,https://paycedigital.com,Digital payments
mMoney,Barbados,Fintech,contact@mmoney.bb,+1-XXX-XXXX,/company/mmoney,@mmoneybarbados,https://mmoney.bb,Mobile money
Chelsea Avondale,Barbados,Fintech,info@chelseaavondale.com,+1-XXX-XXXX,/company/chelsea-avondale,@chelseaavondale,https://chelseaavondale.com,Financial services
Tabit Insurance,Barbados,Fintech/Insurance,contact@tabitinsurance.com,+1-XXX-XXXX,/company/tabit-insurance,@tabitinsurance,https://tabitinsurance.com,Insurance tech
Rum and Sargassum Inc,Barbados,Clean Energy/Biofuel,info@rumandsargassum.com,+1-XXX-XXXX,/company/rum-and-sargassum,@rumsargassum,https://rumandsargassum.com,Biofuel solutions
Blue Green Bank,Barbados,Climate Finance,contact@bluegreenbank.bb,+1-XXX-XXXX,/company/blue-green-bank,@bluegreenbank,https://bluegreenbank.bb,Sustainable finance
Bloom CleanTech Cluster,Barbados,Clean Energy,info@bloomcleantech.com,+1-XXX-XXXX,/company/bloom-cleantech,@bloomcleantech,https://www.businessbarbados.com/articles/the-bloom-cleantech-cluster,Clean energy cluster
Smart Fund,Barbados,Renewable Energy Finance,contact@smartfund.bb,+1-XXX-XXXX,/company/smart-fund-barbados,@smartfundbarbados,https://smartfund.bb,Energy finance
Renewstable Barbados Project,Barbados,Renewable Energy,info@renewstable.bb,+1-XXX-XXXX,/company/renewstable,@renewstable,https://www.greenclimate.fund/project/fp224,GHG reduction
MedRegis,Barbados,Healthtech,contact@medregis.com,+1-XXX-XXXX,/company/medregis,@medregis,https://medregis.com,Electronic health records
Barbados Immigration Department,Barbados,Government/Citizenship,Immigration.citizenship@barbados.gov.bb,535-4195,N/A,N/A,https://immigration.gov.bb/pages/contactus.aspx,Citizenship services
Century Capital,St Lucia,Citizenship by Investment,info@century.capital,+758-453-7777,/company/century-capital,@centurycapital,https://century.capital/,Caribbean CBI programs
Barbados Welcome Stamp Program,Barbados,Government/Digital Nomad,N/A,N/A,N/A,N/A,https://immigration.gov.bb/,12-month remote work visa
Subject,Company Name,Website URL,Email Address,Phone Number,LinkedIn URL,Twitter/X Handle,Instagram Handle,Physical Address,Error
Meiling (Caribbean Fashion),Meilinginclimited,https://www.meilinginclimited.com/,meiling@meilinginc.com,+1-868-627-6975,Not found,@meilinginc,@meilinginc,"6 Carlos St Woodbrook, Port of Spain, Trinidad & Tobago",
Claudia Pegus/The Cloth (Caribbean Fashion),Claudia Pegus Designs Limited,https://www.claudiapegus.com/,claudiapegus@gmail.com,+1-868-622-2868,https://tt.linkedin.com/company/claudia-pegus-designs-limited,@claudiapegus,@claudiapegusdesigns,"Level 3, Long Circular Mall, St. James, Port of Spain, Trinidad and Tobago",
Beewear (Caribbean Fashion),Beewear Apparel,Not found,beewear.apparel.28@gmail.com,+1-323-529-4892,Not found,Not found,@beewear_apparel,"5211 E Washington Blvd, Unit 10, Commerce, CA 90040, USA",
Beautiful Mode (Caribbean Fashion),Beautiful Mode Inc.,https://beautifulmode.com/,connect@BeautifulMode.com,+1-254-317-5440,Not found,Not found,@beautifulmodecom,Not found,
Caribbean Fashion Week (Caribbean Fashion Event),Pulse Investments Limited (Organizer of Caribbean Fashion Week),https://pulseworld360.com/,info@pulseworld360.com,+1-876-968-1089,https://www.linkedin.com/company/pulse-investments-limited,@PulseWorld360,@pulseworld360,"38A Trafalgar Road, Kingston 10, Jamaica, W.I.",
Hi Esteem Agency (Caribbean Modeling),Hi Esteem Agency,https://www.hiesteemagency.com/,info@hiesteemagency.com,+1-876-817-3097,Not found,Not found,@hiesteemagency,"3119 Coral Way, Miami, FL, USA (Based on Facebook snippet, but company operates across Miami, Jamaica, Trinidad & Tobago, and Grenada)",
Manikin Models (Caribbean Modeling),Manikin Model & Talent Agency,https://www.manikinmodels.com/,talent@manikinagency.com,+1-323-676-6099,Not found,@Manikinmodels,@manikinagency,"9838 Old Baymeadows Road #107, Jacksonville, FL 32256, USA",
CB Agency (Caribbean Modeling),One Caribbean Beauties Ltd.,https://onecaribbeanbeautiesltd.com/,onecaribbeanbeautiesltd@gmail.com,+1-868-717-2844,Not found,@CBeauties1,@caribbeanbeauties1,Not found,
Untouchable Talent (Caribbean Modeling),Untouchable Talent Agency,Not found,Not found,+1-868-384-4953,Not found,Not found,@untouchabletalentagency,Not found,
RAW Management (Caribbean Modeling),RAW Management Ltd,https://www.rawmanagementagency.com/,Info@rawmanagementagency.com,Not found,https://jm.linkedin.com/company/raw-management-agency,Not found,@rawmanagement_,"Kingston, Jamaica",
VP Records (Caribbean Music Label),VP Records,https://vprecords.com/,media@vprecords.com,+1-718-425-1100,https://www.linkedin.com/company/vprecords,@VPRecords,@vprecords,"89-05 138th Street, Jamaica, NY 11435, USA",
Kente Gentlemen (Ghana Fashion),Kente Gentlemen,https://kentegentlemen.com,info@kentegentlemen.com,+225 01 53 31 67 68,Not found,@kentegentlemen,@kentegentlemen,"Abidjan, Côte d'Ivoire",
Threaded Tribe (Ghana Fashion),Threaded Tribes,https://threadedtribes.com,hello@threadedtribes.com,+233599500011,https://gh.linkedin.com/company/threaded-tribes,@ThreadedTribes,@threadedtribes,"N. 14 Lokko Rd, Accra, Ghana",
Ghana Kente Weavers (Ghana Textiles),Ghana Textile Printing Co. Ltd.,https://shop.gtpfashion.com/,customerservice@gtpfashion.com,+233-30-330-4233,https://gh.linkedin.com/company/vlisco-ghana-cluster,@GTPFashion,@gtp_fashion,"Near Valco Roundabout, Akasanoma Road Heavy Industrial Area, Tema, Greater Accra, Ghana",
Prime Model Management (Ghana Modeling),Prime Model Management,https://primemodelsmgmt.com,info@primemodelsmgmt.com,+233-53-557-7736,Not found,@primemodelsmgmt,@primemodelsmgmt,"14 Spintex Rd, Accra, Ghana",
Passion Exhibit Modelling Agency (Ghana Modeling),Passion Exhibit Modelling Agency,Not found,Not found,+233-262706055,https://gh.linkedin.com/in/passion-exhibit-modelling-agency-6994b6127,Not found,@passionexhibit,"Haatso, near PUMA Fuel Station, Accra, Ghana",
ExoPa Model Agency (Ghana Modeling),ExoPa Model Agency,https://www.exopaagency.com,info@exopa.de,+233 24 685 9535,Not found,@myexopa,@exopamodelagency,"Near Trade Fair Giffard Rd., Greater Accra, Ghana",
Hi5 Modeling Agency (Ghana Modeling),Hi5 Modeling Agency,Not found,Not found,+233-578-183-909,https://gh.linkedin.com/in/hi5modelingagency-88a779102,@Hi5_Modle,@hi5models,"P.O.BOX OS 491 Osu- Accra, Ghana",
Regent Model Management (Ghana Modeling),Regent Model Management,Not found,regentmodelsm@gmail.com,+233 24 877 7560,https://gh.linkedin.com/company/regent-model-management,@regmodelsgh,@regentmodelmgt,"Head Office: House No. FE23 Powen ST. Ablekuma, Accra, Ghana",
ZJELL Ghana (Ghana Online Modeling),ZJELL Ghana (Ghana Online Modeling),https://www.zjell.com/,contact@zjell.com,Not found,https://uk.linkedin.com/company/zjell-ltd,@zjell_online,@zjell.ad,Not found,
DolFinContent (Ghana Talent Management),DolFinContent,https://www.dolfincontent.com,info@dolfincontent.com,+1-954-991-1788,https://www.linkedin.com/company/dolfincontent,Not found,@dolfincontent,"2829 NE 33rd Ct. Fort Lauderdale, FL 33306, USA",
Akwaaba Music (Ghana Record Label),Akwaaba Music,https://www.akwaabamusic.com,hello@akwaabamusic.com,Not found,https://gh.linkedin.com/company/akwaaba-music,@akwaabamusic,@akwaabamusic,"Dzorwulu neighborhood, Accra, Ghana",
Ghana Cocoa Board (Ghana Agriculture),Ghana Cocoa Board,https://cocobod.gh/,public_affairs@cocobod.gh,+233-302-661877,https://gh.linkedin.com/company/cocoa-board-ghana,@ghcocobod,@ghcocobod,"Cocoa House, 41 Kwame Nkrumah Avenue, P.O. Box 933, Accra, Ghana",
Travel Time Africa (Ghana Tourism),Travel Time Africa,https://traveltimeafrica.com/,travel@traveltimeafrica.com,+233-533-577-345,https://gh.linkedin.com/company/travel-time-africa,@TTATours_Gh,@traveltimeafrica_,"Peace Viallge Jw Street. Nsakina, Accra Ghana",
Up in the Air Life Ghana Experience (Ghana Tourism),Up in the Air Life,https://upintheairlife.com/,hello@upintheairlife.com,+1-443-422-2216,https://www.linkedin.com/company/upintheairlife,@UpintheAirLife,@upintheairlife,Not found,
Kensington Tours Ghana (Ghana Tourism),Kensington Tours,https://www.kensingtontours.com,info@kensingtontours.com,+1-888-903-2001,https://www.linkedin.com/company/kensington-tours,@KensingtonTours,@kensingtontours,"2 Queen Street East, 20th Floor, Toronto, Ontario, M5C 3G7, Canada",
Go Ahead Tours Ghana (Ghana Tourism),EF Go Ahead Tours,https://www.goaheadtours.com/,social@goaheadtours.com,+1-800-590-1161,https://www.linkedin.com/company/efgoaheadtours,@goaheadtours,@goaheadtours,"2 Education Circle Cambridge, MA 02141, USA",
Easy Track Ghana (Ghana Tourism),"Easy Track Ghana, Ltd.",https://www.easytrackghana.com,info@EasyTrackGhana.com,+233-27-665-7036,https://gh.linkedin.com/company/easy-track-ghana-ltd.,@EasyTrackGhana,@easytrackghana,"Dome - Pillar 2, Kwasi Oppong Street, Dome-Kwabenya, Ghana",
Sunseekers Tours (Ghana Tourism),Sunseekers Tours,https://sunseekerstours.com/,info@sunseekerstours.com,+233-302-225393,https://gh.linkedin.com/company/sunseekers-tours-limited,@sunseekersgh,@sunseekerstoursgh,"9 Farrar Avenue, Opposite Trust Towers, Adabraka, Accra, Ghana",
Stellar Travel Ghana (Ghana Tourism),Stellar Travel Ghana Ltd/FCM Travel Solutions Ghana,https://www.stellartravel.org/,reservations@stellar-africa.com,+233-24-288-3009,https://gh.linkedin.com/company/stellar-travel-ghana-ltd-fcm-travel-solutions-ghana,@GhanaStellar,@stellar_travelghana,"Ground Floor, Grand Oyeeman Building, South Liberation Link, Airport Commercial Area, Accra, Ghana",
MGL Naturals (Ghana Hair Care),MGL Naturals,https://www.mglnaturals.com/,mglnaturals@gmail.com,+233-302-553-724,Not found,@MGLNATURALS,@mglnaturals,"Nii Kwafo Drive, Baatsonaa Highway, Accra, Greater Accra, Ghana",
