Subject,Business Name,Email,Phone,Website,Business Type,Error
Accra Beach,Accra Beach Hotel & Spa,reservations@accrabeachhotel.com,+12464358920,https://www.accrabeachhotel.com,hotel,
Hilton Barbados,Hilton Barbados Resort,reservations.barbados@hilton.com,+12464260200,https://www.hilton.com,hotel,
Sandals Barbados,Sandals Barbados Resort & Spa,info@sandals.com,+12466203600,https://www.sandals.com,resort,
Sandy Lane,Sandy Lane Hotel,reservations@sandylane.com,+12464442000,https://www.sandylane.com,hotel,
Fairmont,Fairmont Royal Pavilion Hotel,royalpavilion@fairmont.com,+12464226555,https://www.fairmont.com,hotel,
Cobblers Cove,Cobblers Cove Hotel,reservations@cobblerscove.com,+12464222291,https://www.cobblerscove.com,hotel,
Coral Reef Club,Coral Reef Club,coral@coralreefbarbados.com,+12464222372,https://www.coralreefbarbados.com,hotel,
The Crane,The Crane Resort,reservations@thecrane.com,+12464236220,https://www.thecrane.com,resort,
Colony Club,Colony Club Hotel,colonyclub@eleganthotels.com,+12464221234,https://www.eleganthotels.com,hotel,
Crystal Cove,Crystal Cove Hotel,crystalcove@eleganthotels.com,+12464321234,https://www.eleganthotels.com,hotel,
Waves Hotel,Waves Hotel & Spa By Elegant Hotels,waves@eleganthotels.com,+12464221234,https://www.eleganthotels.com,hotel,
Turtle Beach,Turtle Beach Resort,turtlebeach@eleganthotels.com,+12464281234,https://www.eleganthotels.com,resort,
Bougainvillea,Bougainvillea Beach Resort,reservations@bougainvilleabeachresort.com,+12464187000,https://www.bougainvilleabeachresort.com,resort,
Coconut Court,Coconut Court Beach Hotel,reservations@coconut-court.com,+12464271655,https://www.coconut-court.com,hotel,
Radisson Aquatica,Radisson Aquatica Resort Barbados,info.barbados@radisson.com,+12464207000,https://www.radissonhotels.com,resort,
Sugar Bay,Sugar Bay Barbados,reservations@sugarbayresort.com,+12464287000,https://www.sugarbayresort.com,hotel,
Sea Breeze,Sea Breeze Beach House,reservations@seabreezebeachhouse.com,+12464282825,https://www.seabreezebeachhouse.com,hotel,
Southern Palms,Southern Palms Beach Club,reservations@southernpalms.net,+12464287171,https://www.southernpalms.net,resort,
Blue Horizon,Blue Horizon Hotel,info@bluehorizonbarbados.com,+12464351234,https://www.bluehorizonbarbados.com,hotel,
Divi Southwinds,Divi Southwinds Beach Resort,reservations@divisouthwinds.com,+12464287181,https://www.divisouthwinds.com,resort,
