Subject,Business Name,Email,Phone,Website,Business Type,Error
Anchorage Hotel,Anchorage Hotel Whale Watch and Dive Centre,anchoragehotel@cwdom.dm,+17674482638,https://www.dhta.org,hotel,
Bay View Lodges,Bay View Lodges,enquiries@bayviewdominica.com,+17672458370,https://www.dhta.org,hotel,
Beau Rive,Beau Rive,info@beaurive.com,+17674458992,https://www.beaurive.com,hotel,
Calibishie Cove,Calibishie Cove,calibishiecove@gmail.com,+17672651993,https://www.dhta.org,boutique_hotel,
Calibishie Lodges,Calibishie Lodges,info@calibishie-lodges.com,+17674458537,https://www.calibishie-lodges.com,hotel,
Caribbean Seaview,Caribbean Seaview Holiday Apartments,info@caribbeanseaview.com,+17674497572,https://www.caribbeanseaview.com,hotel,
Chez Ophelia,Chez Ophelia,chezophelia@cwdom.dm,+17674483438,https://www.dhta.org,guesthouse,
Comfortel De Champ,Comfortel De Champ,info@godominica.com,+17674454452,https://www.godominica.com,hotel,
Douglas Guest House,Douglas Guest House,mendoug@cwdom.dm,+17674455253,https://www.dhta.org,guesthouse,
Evergreen Hotel,Evergreen Hotel,evergreen@cwdom.dm,+17674483288,https://www.dhta.org,hotel,
Falls View,Falls View Guest House,Fallsview@cwdom.dm,+17672764012,https://www.dhta.org,guesthouse,
Fort Young,Fort Young Hotel,fortyoung@cwdom.dm,+17674485000,https://www.dhta.org,hotel,
Garraway Hotel,Garraway Hotel,garraway@cwdom.dm,+17674498800,https://www.dhta.org,hotel,
Grace Apartments,Grace Apartments,grace.apts@gmail.com,+17674482934,https://www.dhta.org,hotel,
Harmony Villa,Harmony Villa,carlaarmour@hotmail.com,+17674498312,https://www.dhta.org,villa,
Heaven's Best,Heaven's Best Guest House & Restaurant,cleony1@hotmail.com,+17674456677,https://www.dhta.org,guesthouse,
Hibiscus Valley,Hibiscus Valley Inn,hibiscusvalley@hotmail.com,+17674458195,https://www.dhta.org,guesthouse,
Jungle Bay,Jungle Bay Resort and Spa,info@junglebaydominica.com,+17674461789,https://www.junglebaydominica.com,resort,
Kai Woshe,Kai Woshe Guest House & Restaurant,kaiwoshe@hotmail.com,+17674461688,https://www.dhta.org,guesthouse,
La Flamboyant,La Flamboyant Hotel,laflamboyanthotel@cwdom.dm,+17674407190,https://www.dhta.org,hotel,
Le Petite Paradis,Le Petite Paradis,lepetitparadis200@hotmail.com,+17674404352,https://www.dhta.org,guesthouse,
MorningBird,MorningBird Apartment Hotel,morningbirdhotel@gmail.com,+17674497401,https://www.dhta.org,hotel,
Papillote,Papillote Wilderness Retreat,papillote@cwdom.dm,+17674482287,https://www.dhta.org,resort,
Pepper's Cottage,Pepper's Cottage & Taxi Service,peppers2day@yahoo.com,+17674404321,https://www.dhta.org,guesthouse,
Pineapple Crossing,Pineapple Crossing,lesley.brightmore@googlemail.com,+17674490772,https://www.dhta.org,guesthouse,
Rainforest Paradise,Rainforest Paradise,rainforestparadise@cwdom.dm,+17674493074,https://www.dhta.org,resort,
Richmond Bay,Richmond Bay Eco Lodge,kouanari@gmail.com,+17674460724,https://www.dhta.org,resort,
Roots Jungle,Roots Jungle Retreat,rootsjungleretreat@gmail.com,+17672756000,https://www.dhta.org,resort,
Rosalie Bay,Rosalie Bay Nature Resort,grettab@rosaliebay.com,+17674404439,https://www.rosaliebay.com,resort,
Rosalie Forest,Rosalie Forest Eco Lodge,info@3riversdominica.com,+17674461886,https://www.3riversdominica.com,resort,
Roseau Valley,Roseau Valley Hotel,rosevale@cwdom.dm,+17674498176,https://www.dhta.org,hotel,
Roxy's Mountain,Roxy's Mountain Lodge,roxy@cwdom.dm,+17674484845,https://www.dhta.org,hotel,
Sea World,Sea World Guest House,seaworld@cwdom.dm,+17674485068,https://www.dhta.org,guesthouse,
Silk Tree,Silk Tree Ltd,silkshotel@gmail.com,+17674458846,https://www.dhta.org,hotel,
Decide on Dominica,Decide on Dominica,tours@decideondominica.com,+17672551104,https://www.decideondominica.com,tour_operator,
Antours,Antours,antours@yahoo.com,+17672450886,https://www.antoursdm.com,tour_operator,
Ken Ken Taxi,Ken Ken Taxi Services,kensworthboston@gmail.com,+17672652962,NA,taxi_service,
Nature Island Dive,Nature Island Dive,Natureislanddive@gmail.com,+17672456505,NA,dive_shop,
JC Ocean Adventures,JC Ocean Adventures,jorgama60@gmail.com,+17672950757,NA,watersports,
