Company Name,Location,Sector,Email,Phone,LinkedIn,Twitter,Website,Notes
GnuGrid,Kampala Uganda,Clean Energy,info@gnugrid.com,+256-XXX-XXXX,/company/gnugrid,@gnugrid,https://gnugrid.com,Solar energy solutions
Numida,Kampala Uganda,Fintech,contact@numida.com,+256-XXX-XXXX,/company/numida,@numidaug,https://numida.com,SME lending
MCash Uganda,Kampala Uganda,Fintech,info@mcash.ug,+256-XXX-XXXX,/company/mcash-uganda,@mcashug,https://www.mcash.ug/,Mobile money
Onafriq,Kampala Uganda,Fintech,info@onafriq.com,+256-XXX-XXXX,/company/onafriq,@onafriq,https://onafriq.com/,Pan-African payments
Fintech Group,Kampala Uganda,Fintech,info@fintech-group.com,+256-414-340052,/company/fintech-group-uganda,@fintechgroupug,https://fintech-group.com/contact/,Financial services
SafeBoda,Kampala Uganda,Tech/Transport,support@safeboda.com,+256-XXX-XXXX,/company/safeboda,@safeboda,https://safeboda.com,Ride-hailing
XENO Technologies,Kampala Uganda,Tech,info@xenotech.ug,+256-XXX-XXXX,/company/xeno-technologies,@xenotech,https://xenotech.ug,Software development
KaCyber Technologies,Kampala Uganda,Tech,contact@kacyber.com,+256-XXX-XXXX,/company/kacyber,@kacyber,https://kacyber.com,Cybersecurity
Waanverse Labs Inc,Kampala Uganda,Tech,hello@waanverse.com,+256-XXX-XXXX,/company/waanverse,@waanverse,https://waanverse.com,Web3/Metaverse
Zimba Technologies Inc,Kampala Uganda,Tech,info@zimbatech.com,+256-XXX-XXXX,/company/zimba-technologies,@zimbatech,https://zimbatech.com,Software solutions
CodeBits Company Limited,Kampala Uganda,Tech,contact@codebits.ug,+256-XXX-XXXX,/company/codebits,@codebits,https://codebits.ug,Software development
Emata,Kampala Uganda,Tech,info@emata.io,+256-741-445718,/company/emata,@emataio,https://www.emata.io/about,IoT/Smart systems
AREM Clean Energy Solutions,Kampala Uganda,Clean Energy,info@aremcleanenergy.com,+256-XXX-XXXX,/company/arem-clean-energy,@aremclean,https://www.bettervest.com/en/current-projects/arem,Solar solutions
New Energy Nexus Uganda,Kampala Uganda,Clean Energy,uganda@newenergynexus.com,+256-XXX-XXXX,/company/new-energy-nexus,@newenergynexus,https://www.newenergynexus.com/uganda/,Clean energy accelerator
GreenEra Engineering Solutions Ltd,Kampala Uganda,Clean Energy,info@greenera.ug,+256-XXX-XXXX,/company/greenera-engineering,@greeneraug,https://greenera.ug,Renewable energy
Easy Power Co Ltd,Kampala Uganda,Clean Energy,info@easypower.ug,+256-XXX-XXXX,/company/easy-power-uganda,@easypowerug,https://easypower.ug,Solar energy
ZERO WASTE AMAZING PROJECTS,Kampala Uganda,Clean Energy/Waste,info@zerowaste.ug,+256-XXX-XXXX,/company/zero-waste-uganda,@zerowasteug,https://zerowaste.ug,Waste management
UNREEEA,Kampala Uganda,Clean Energy,info@unreeea.org,+256-XXX-XXXX,/company/unreeea,@unreeea,https://unreeea.org/,Renewable energy association
Yo Waste,Kampala Uganda,Clean Energy/Waste,contact@yowaste.com,+256-XXX-XXXX,/company/yo-waste,@yowaste,https://yowaste.com,Waste collection
Innovation Village,Kampala Uganda,Tech Hub,info@innovationvillage.co.ug,+256-XXX-XXXX,/company/innovation-village,@innovvillage,https://softpower.ug/,Startup incubator
Outbox Hub,Kampala Uganda,Tech Hub,hello@outbox.co.ug,+256-XXX-XXXX,/company/outbox-hub,@outboxhub,https://outbox.co.ug,Co-working/incubator
mPharma,Accra Ghana,Healthtech,info@mpharma.com,+233-XXX-XXXX,/company/mpharma,@mpharmagh,https://www.mpharma.com/,Pharmaceutical distribution
PEG Africa,Accra Ghana,Clean Energy,contact@pegafrica.com,+233-XXX-XXXX,/company/peg-africa,@pegafrica,https://pegafrica.com,Pay-as-you-go solar
